anchor_log10,K_compute,kernel,N,sigma_pred,sigma_eff,sigma_eff_hard,ratio_obs_over_hard,median_abs_err,mean_abs_err,ks_D_eff,ks_p_eff
7,4000,tukey50,20,7.760625762731245,6.563519071336315,6.061354888661608,1.0828468538633262,4.639141905819997,5.567600967892213,0.18206144843389352,0.47981895078080056
8,500,cosine,20,45.73598851967803,42.22922826957186,43.051669474148184,0.9808964155252984,29.840895640663803,33.915548119693995,0.13673422020464976,0.8203823576368486
8,500,hamming,20,45.73598851967803,42.21373691226521,43.051669474148184,0.9805365837813529,30.14424921106547,33.44297542781569,0.1395603492993328,0.800764442276425
8,500,hann,20,45.73598851967803,42.451027247845,43.051669474148184,0.9860483406650731,28.311520889401436,33.559600037941706,0.14338753500070311,0.7732252138124719
8,500,hard,20,45.73598851967803,43.051669474148184,43.051669474148184,1.0,34.09893502667546,35.635897514224055,0.1392420286095457,0.8030069889201441
8,500,riesz,20,45.73598851967803,42.29609484246148,43.051669474148184,0.9824495857903858,29.815288537181914,34.21467547994107,0.14100285529531695,0.7905053268236627
8,500,riesz4,20,45.73598851967803,42.30721056098439,43.051669474148184,0.982707780621357,29.891334523446858,33.6787031205371,0.172106977358888,0.5529988129138311
8,500,triangle,20,45.73598851967803,41.89467311825871,43.051669474148184,0.9731254009421346,29.705562118440866,32.189180351607504,0.18822508169241503,0.4369454243918189
8,500,tukey25,20,45.73598851967803,44.20272563836904,43.051669474148184,1.0267366208623347,35.061568984761834,37.310689121391626,0.15934360098964895,0.6513620756446109
8,500,tukey50,20,45.73598851967803,43.06643874182376,43.051669474148184,1.0003430591160802,34.0999972242862,35.501310870004815,0.14203472880033785,0.7830745409518457
8,1000,cosine,20,35.94729942301512,40.1945946855566,38.769765924740256,1.0367510282002275,32.69096473790705,32.132213757978754,0.19667696334453477,0.3817733414266039
8,1000,hamming,20,35.94729942301512,40.247111908659846,38.769765924740256,1.0381056204153363,32.68189965374768,32.49787361291237,0.1359738338151289,0.8255418756849566
8,1000,hann,20,35.94729942301512,40.504024778844666,38.769765924740256,1.0447322498018417,32.32067973352969,32.736996949464086,0.12609310662416476,0.887013312329765
8,1000,hard,20,35.94729942301512,38.769765924740256,38.769765924740256,1.0,29.127560671418905,30.379343851003796,0.13410262959627356,0.8380049040583072
8,1000,riesz,20,35.94729942301512,40.18666603523215,38.769765924740256,1.0365465221854158,34.100690469145775,32.16923247664236,0.17825547592573843,0.5072814291954971
8,1000,riesz4,20,35.94729942301512,40.361122676144674,38.769765924740256,1.0410463337460834,32.78532645665109,32.54878003983758,0.13874249781485964,0.8065099133707977
8,1000,triangle,20,35.94729942301512,39.90242931475861,38.769765924740256,1.0292151206746278,30.371001029387116,31.7643585102167,0.14426566489063147,0.7667712120464871
8,1000,tukey25,20,35.94729942301512,41.47745489601224,38.769765924740256,1.0698402197353512,37.84891405329108,33.539398500649256,0.1385037730075953,0.8081768156388811
8,1000,tukey50,20,35.94729942301512,39.81653446117527,38.769765924740256,1.0269996093983904,31.728986237198114,32.37698059896938,0.11793530823919196,0.9282563259583348
8,2000,cosine,20,27.969164114875493,31.043898932968446,21.695570018263002,1.43088653152861,26.81432795524597,25.765022462327032,0.12850753095288786,0.8730474045351376
8,2000,hamming,20,27.969164114875493,33.82109930064975,21.695570018263002,1.558894247635792,30.97255190461874,27.744646660238505,0.14205229648442513,0.7829473998709284
8,2000,hann,20,27.969164114875493,35.07227497245243,21.695570018263002,1.6165638857577433,31.071666350588202,28.635536734806372,0.14043501603223701,0.7945622953526009
8,2000,hard,20,27.969164114875493,21.695570018263002,21.695570018263002,1.0,17.210925905033946,17.829067449085414,0.11942680281798679,0.9214427289624242
8,2000,riesz,20,27.969164114875493,30.18296693188919,21.695570018263002,1.3912041447393004,26.407535767182708,25.122489824704825,0.13241423391536067,0.8489465997658816
8,2000,riesz4,20,27.969164114875493,34.1429221997704,21.695570018263002,1.5737278242069421,31.02687336318195,27.98420092011802,0.1404426236825173,0.794508097889508
8,2000,triangle,20,27.969164114875493,33.44261401140848,21.695570018263002,1.5414489678426053,28.87568111717701,27.418247020989657,0.20897392641868306,0.30968408895645555
8,2000,tukey25,20,27.969164114875493,24.201177142704495,21.695570018263002,1.1154893428627277,21.823307313024998,20.279154557548463,0.13964311524847306,0.8001800646191878
8,2000,tukey50,20,27.969164114875493,27.995639124237815,21.695570018263002,1.290385046379123,24.030656345188618,23.29680267283693,0.18312516261200562,0.4722729303437383
8,4000,cosine,20,21.580721507988248,21.86883428167441,16.711497798762995,1.308610068649452,18.921306992881,18.116295926319435,0.15263324165832315,0.7034527620043574
