log10_x_anchor,x,pi_x,K,abs_err
5.0,125247,11756,2500,1.100694
5.0,125247,11756,3000,0.929494
5.0,125247,11756,3500,0.660646
5.0,125247,11756,4000,0.709900
5.0,125247,11756,4500,1.016688
5.0,125247,11756,5000,0.979902
5.0,125247,11756,6000,0.883085
5.0,125247,11756,7000,0.734971
5.0,125247,11756,8000,0.440457
5.0,125247,11756,9000,0.350273
5.0,125247,11756,10000,0.401075
5.0,125247,11756,11000,0.379624
5.0,125247,11756,12000,0.442109
5.0,125247,11756,13000,0.441693
5.0,125247,11756,14000,0.474154
5.0,125247,11756,15000,0.461837
5.0,125247,11756,16000,0.493221
5.0,125247,11756,17000,0.481343
5.0,125247,11756,18000,0.582733
5.0,125247,11756,19000,0.494142
5.0,125247,11756,20000,0.557122
5.0,126537,11866,250,0.911119
5.0,126537,11866,500,0.365928
5.0,126537,11866,750,0.568826
5.0,126537,11866,1000,0.180165
5.0,126537,11866,1500,0.483987
5.0,126537,11866,2000,0.403237
5.0,126537,11866,2500,0.186909
5.0,126537,11866,3000,0.189014
5.0,126537,11866,3500,0.368627
5.0,126537,11866,4000,0.580980
5.0,126537,11866,4500,0.602814
5.0,126537,11866,5000,0.841719
5.0,126537,11866,6000,0.636652
5.0,126537,11866,7000,0.781221
5.0,126537,11866,8000,0.894132
5.0,126537,11866,9000,0.857425
5.0,126537,11866,10000,0.871396
5.0,126537,11866,11000,0.712139
5.0,126537,11866,12000,0.668048
5.0,126537,11866,13000,0.483302
5.0,126537,11866,14000,0.467880
5.0,126537,11866,15000,0.345837
5.0,126537,11866,16000,0.343360
5.0,126537,11866,17000,0.231738
5.0,126537,11866,18000,0.160691
5.0,126537,11866,19000,0.095730
5.0,126537,11866,20000,0.027579
5.0,127562,11944,250,2.620654
5.0,127562,11944,500,2.874431
5.0,127562,11944,750,2.902741
5.0,127562,11944,1000,1.412894
5.0,127562,11944,1500,0.439457
5.0,127562,11944,2000,0.148862
5.0,127562,11944,2500,0.365761
5.0,127562,11944,3000,0.162218
5.0,127562,11944,3500,0.128243
5.0,127562,11944,4000,0.078650
5.0,127562,11944,4500,0.035882
5.0,127562,11944,5000,0.131715
5.0,127562,11944,6000,0.091168
5.0,127562,11944,7000,0.231959
5.0,127562,11944,8000,0.336143
5.0,127562,11944,9000,0.557826
5.0,127562,11944,10000,0.551887
5.0,127562,11944,11000,0.604744
5.0,127562,11944,12000,0.617697
5.0,127562,11944,13000,0.663707
5.0,127562,11944,14000,0.538766
5.0,127562,11944,15000,0.574313
5.0,127562,11944,16000,0.493929
5.0,127562,11944,17000,0.378807
5.0,127562,11944,18000,0.292545
5.0,127562,11944,19000,0.257680
5.0,127562,11944,20000,0.182694
5.0,131234,12262,250,1.399948
5.0,131234,12262,500,0.152346
5.0,131234,12262,750,0.358428
5.0,131234,12262,1000,0.565121
5.0,131234,12262,1500,0.337099
5.0,131234,12262,2000,0.320294
5.0,131234,12262,2500,0.203569
5.0,131234,12262,3000,0.189489
5.0,131234,12262,3500,0.755960
5.0,131234,12262,4000,0.792443
5.0,131234,12262,4500,0.666260
5.0,131234,12262,5000,1.065609
5.0,131234,12262,6000,0.816932
5.0,131234,12262,7000,0.822544
5.0,131234,12262,8000,0.767843
5.0,131234,12262,9000,0.606741
5.0,131234,12262,10000,0.700574
5.0,131234,12262,11000,0.425577
5.0,131234,12262,12000,0.343519
5.0,131234,12262,13000,0.267576
5.0,131234,12262,14000,0.473386
5.0,131234,12262,15000,0.616266
5.0,131234,12262,16000,0.672695
5.0,131234,12262,17000,0.643009
5.0,131234,12262,18000,0.565281
5.0,131234,12262,19000,0.512128
5.0,131234,12262,20000,0.624899
5.0,131845,12314,250,1.758450
