log10_x_anchor,x,pi_x,K,abs_err
4.0,11140,1349,1250,0.008066
4.0,11140,1349,1500,0.212895
4.0,11140,1349,1750,0.104714
4.0,11140,1349,2000,0.023699
4.0,11140,1349,2250,0.082144
4.0,11140,1349,2500,0.093916
4.0,11140,1349,2750,0.003612
4.0,11140,1349,3000,0.077234
4.0,11140,1349,3250,0.119010
4.0,11140,1349,3500,0.182999
4.0,11140,1349,3750,0.119665
4.0,11140,1349,4000,0.113385
4.0,11140,1349,4250,0.114644
4.0,11140,1349,4500,0.016174
4.0,11140,1349,4750,0.028986
4.0,11140,1349,5000,0.032921
4.0,11140,1349,5250,0.015235
4.0,11140,1349,5500,0.039018
4.0,11140,1349,5750,0.020276
4.0,11140,1349,6000,0.081118
4.0,11140,1349,6250,0.076732
4.0,11140,1349,6500,0.055439
4.0,11140,1349,6750,0.118738
4.0,11140,1349,7000,0.058070
4.0,11140,1349,7250,0.070073
4.0,11140,1349,7500,0.067711
4.0,11140,1349,7750,0.056279
4.0,11140,1349,8000,0.054048
4.0,11144,1349,50,0.385977
4.0,11144,1349,100,0.447147
4.0,11144,1349,150,0.328424
4.0,11144,1349,200,0.871169
4.0,11144,1349,250,0.929417
4.0,11144,1349,300,1.124306
4.0,11144,1349,350,1.012778
4.0,11144,1349,400,0.726018
4.0,11144,1349,450,0.468901
4.0,11144,1349,500,0.421081
4.0,11144,1349,600,0.240167
4.0,11144,1349,700,0.312114
4.0,11144,1349,800,0.380980
4.0,11144,1349,900,0.327273
4.0,11144,1349,1000,0.221170
4.0,11144,1349,1250,0.189927
4.0,11144,1349,1500,0.247339
4.0,11144,1349,1750,0.148308
4.0,11144,1349,2000,0.128567
4.0,11144,1349,2250,0.136838
4.0,11144,1349,2500,0.182745
4.0,11144,1349,2750,0.137440
4.0,11144,1349,3000,0.133190
4.0,11144,1349,3250,0.182295
4.0,11144,1349,3500,0.180900
4.0,11144,1349,3750,0.198997
4.0,11144,1349,4000,0.140080
4.0,11144,1349,4250,0.047098
4.0,11144,1349,4500,0.024855
4.0,11144,1349,4750,0.029292
4.0,11144,1349,5000,0.060977
4.0,11144,1349,5250,0.157814
4.0,11144,1349,5500,0.112088
4.0,11144,1349,5750,0.063440
4.0,11144,1349,6000,0.102086
4.0,11144,1349,6250,0.092999
4.0,11144,1349,6500,0.053795
4.0,11144,1349,6750,0.085269
4.0,11144,1349,7000,0.020421
4.0,11144,1349,7250,0.031399
4.0,11144,1349,7500,0.016532
4.0,11144,1349,7750,0.022855
4.0,11144,1349,8000,0.022793
4.0,11203,1356,50,1.188743
4.0,11203,1356,100,0.441986
4.0,11203,1356,150,0.169502
4.0,11203,1356,200,0.482600
4.0,11203,1356,250,0.423156
4.0,11203,1356,300,0.492024
4.0,11203,1356,350,0.469368
4.0,11203,1356,400,0.171630
4.0,11203,1356,450,0.109790
4.0,11203,1356,500,0.004677
4.0,11203,1356,600,0.012693
4.0,11203,1356,700,0.102689
4.0,11203,1356,800,0.246987
4.0,11203,1356,900,0.203018
4.0,11203,1356,1000,0.097704
4.0,11203,1356,1250,0.032322
4.0,11203,1356,1500,0.043147
4.0,11203,1356,1750,0.186128
4.0,11203,1356,2000,0.190416
4.0,11203,1356,2250,0.156895
4.0,11203,1356,2500,0.178047
4.0,11203,1356,2750,0.042134
4.0,11203,1356,3000,0.025492
4.0,11203,1356,3250,0.119521
4.0,11203,1356,3500,0.056123
4.0,11203,1356,3750,0.048992
4.0,11203,1356,4000,0.034813
4.0,11203,1356,4250,0.012069
4.0,11203,1356,4500,0.012154
4.0,11203,1356,4750,0.081701
4.0,11203,1356,5000,0.153365
4.0,11203,1356,5250,0.197085
4.0,11203,1356,5500,0.219858
4.0,11203,1356,5750,0.243859
4.0,11203,1356,6000,0.132068
4.0,11203,1356,6250,0.124064
4.0,11203,1356,6500,0.125437
4.0,11203,1356,6750,0.158111
4.0,11203,1356,7000,0.237045
