log10_x_anchor,x,pi_x,K,abs_err
4.0,12308,1471,1,0.643596
4.0,12308,1471,2,0.629934
4.0,12308,1471,5,0.357650
4.0,12308,1471,10,0.058675
4.0,12308,1471,20,0.258540
4.0,12308,1471,50,1.063112
4.0,12308,1471,100,0.613486
4.0,12308,1471,200,0.573893
4.0,12308,1471,300,0.260105
4.0,12308,1471,500,0.114364
4.0,12308,1471,700,0.143926
4.0,12308,1471,1000,0.194714
4.0,12308,1471,1500,0.169810
4.0,12308,1471,2000,0.116808
4.0,12308,1471,3000,0.043946
4.0,12308,1471,4000,0.186908
4.0,12308,1471,5000,0.068984
4.0,12308,1471,6000,0.213724
4.0,12308,1471,7000,0.085710
4.0,12308,1471,8000,0.009862
4.0,12484,1489,1,1.113792
4.0,12484,1489,2,1.423539
4.0,12484,1489,5,1.965365
4.0,12484,1489,10,1.540672
4.0,12484,1489,20,2.100870
4.0,12484,1489,50,1.453286
4.0,12484,1489,100,0.575392
4.0,12484,1489,200,0.713134
4.0,12484,1489,300,0.884670
4.0,12484,1489,500,0.525712
4.0,12484,1489,700,0.328071
4.0,12484,1489,1000,0.335640
4.0,12484,1489,1500,0.150183
4.0,12484,1489,2000,0.298492
4.0,12484,1489,3000,0.194726
4.0,12484,1489,4000,0.186999
4.0,12484,1489,5000,0.191561
4.0,12484,1489,6000,0.001967
4.0,12484,1489,7000,0.084607
4.0,12484,1489,8000,0.087562
4.0,12540,1497,1,1.001078
4.0,12540,1497,2,0.594556
4.0,12540,1497,5,0.191329
4.0,12540,1497,10,0.221965
4.0,12540,1497,20,0.481427
4.0,12540,1497,50,0.146658
4.0,12540,1497,100,0.128833
4.0,12540,1497,200,0.191565
4.0,12540,1497,300,0.088984
4.0,12540,1497,500,0.366432
4.0,12540,1497,700,0.380756
4.0,12540,1497,1000,0.325453
4.0,12540,1497,1500,0.275897
4.0,12540,1497,2000,0.129132
4.0,12540,1497,3000,0.026622
4.0,12540,1497,4000,0.059929
4.0,12540,1497,5000,0.016128
4.0,12540,1497,6000,0.020847
4.0,12540,1497,7000,0.071902
4.0,12540,1497,8000,0.040590
4.0,12704,1517,1,3.742843
4.0,12704,1517,2,3.081078
4.0,12704,1517,5,1.677737
4.0,12704,1517,10,2.000116
4.0,12704,1517,20,1.284787
4.0,12704,1517,50,1.216126
4.0,12704,1517,100,0.359239
4.0,12704,1517,200,0.497931
4.0,12704,1517,300,0.557818
4.0,12704,1517,500,0.361825
4.0,12704,1517,700,0.585413
4.0,12704,1517,1000,0.590973
4.0,12704,1517,1500,0.530427
4.0,12704,1517,2000,0.539921
4.0,12704,1517,3000,0.480358
