anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
9,1154781985,606,101,2.667320,7874534,2952165.308598,33982.083294,2806.130958,2.640647,78906.756784,2.640647,78906.756784,2.640647,78906.756784,2.667320,163.047256,2.667320,163.047256,2.667320,163.047256,2.667320,163.047256,2.667320,163.047256,163.047256
9,1154781985,802,401,1.323633,3906493,2952165.308598,33982.083294,1976.760627,1.320324,8679.378392,1.320324,8679.378392,1.320324,8679.378392,1.320324,8679.378392,1.323633,-1089.578053,1.323633,-1089.578053,1.323633,-1089.578053,1.323633,-1089.578053,-1089.578053
9,1154781985,1006,503,1.322959,3905527,2952165.308598,33982.083294,1976.257496,1.320324,7713.378392,1.320324,7713.378392,1.320324,7713.378392,1.320324,7713.378392,1.320324,7713.378392,1.322959,-66.688717,1.322959,-66.688717,1.322959,-66.688717,-66.688717
9,1154781985,1198,599,1.322535,3901640,2952165.308598,33982.083294,1975.940946,1.320324,3826.378392,1.320324,3826.378392,1.320324,3826.378392,1.320324,3826.378392,1.320324,3826.378392,1.322535,-2702.622649,1.322535,-2702.622649,1.322535,-2702.622649,-2702.622649
9,1154781985,2018,1009,1.321635,3899798,2952165.308598,33982.083294,1975.268169,1.320324,1984.378392,1.320324,1984.378392,1.320324,1984.378392,1.320324,1984.378392,1.320324,1984.378392,1.320324,1984.378392,1.321635,-1886.340200,1.321635,-1886.340200,-1886.340200
9,1154781985,3030,101,3.556427,10499566,2952165.308598,33982.083294,3240.240928,3.520863,105396.342378,3.520863,105396.342378,3.520863,105396.342378,3.556427,404.729675,3.556427,404.729675,3.556427,404.729675,3.556427,404.729675,3.556427,404.729675,404.729675
9,1154781985,4006,2003,1.320983,3899497,2952165.308598,33982.083294,1974.781394,1.320324,1683.378392,1.320324,1683.378392,1.320324,1683.378392,1.320324,1683.378392,1.320324,1683.378392,1.320324,1683.378392,1.320324,1683.378392,1.320983,-264.554452,-264.554452
9,1333521432,2,0,1.320324,4434702,3359767.555882,36517.412723,2106.176750,1.320324,-1278.501029,1.320324,-1278.501029,1.320324,-1278.501029,1.320324,-1278.501029,1.320324,-1278.501029,1.320324,-1278.501029,1.320324,-1278.501029,1.320324,-1278.501029,-1278.501029
9,1333521432,6,3,2.640647,8869103,3359767.555882,36517.412723,2978.583724,2.640647,-2858.002058,2.640647,-2858.002058,2.640647,-2858.002058,2.640647,-2858.002058,2.640647,-2858.002058,2.640647,-2858.002058,2.640647,-2858.002058,2.640647,-2858.002058,-2858.002058
9,1333521432,14,7,1.584388,5321359,3359767.555882,36517.412723,2307.201032,1.584388,-1817.601235,1.584388,-1817.601235,1.584388,-1817.601235,1.584388,-1817.601235,1.584388,-1817.601235,1.584388,-1817.601235,1.584388,-1817.601235,1.584388,-1817.601235,-1817.601235
9,1333521432,22,11,1.467026,4929153,3359767.555882,36517.412723,2220.105228,1.467026,285.776634,1.467026,285.776634,1.467026,285.776634,1.467026,285.776634,1.467026,285.776634,1.467026,285.776634,1.467026,285.776634,1.467026,285.776634,285.776634
9,1333521432,30,5,3.520863,11831898,3359767.555882,36517.412723,3439.372230,3.520863,2616.663922,3.520863,2616.663922,3.520863,2616.663922,3.520863,2616.663922,3.520863,2616.663922,3.520863,2616.663922,3.520863,2616.663922,3.520863,2616.663922,2616.663922
9,1333521432,38,19,1.397990,4697303,3359767.555882,36517.412723,2167.237996,1.397990,382.469499,1.397990,382.469499,1.397990,382.469499,1.397990,382.469499,1.397990,382.469499,1.397990,382.469499,1.397990,382.469499,1.397990,382.469499,382.469499
9,1333521432,42,7,3.168777,10645830,3359767.555882,36517.412723,3262.874990,3.168777,-523.202470,3.168777,-523.202470,3.168777,-523.202470,3.168777,-523.202470,3.168777,-523.202470,3.168777,-523.202470,3.168777,-523.202470,3.168777,-523.202470,-523.202470
9,1333521432,46,23,1.383196,4646396,3359767.555882,36517.412723,2155.740631,1.383196,-821.667745,1.383196,-821.667745,1.383196,-821.667745,1.383196,-821.667745,1.383196,-821.667745,1.383196,-821.667745,1.383196,-821.667745,1.383196,-821.667745,-821.667745
9,1333521432,58,29,1.369225,4600890,3359767.555882,36517.412723,2144.825418,1.369225,613.924859,1.369225,613.924859,1.369225,613.924859,1.369225,613.924859,1.369225,613.924859,1.369225,613.924859,1.369225,613.924859,1.369225,613.924859,613.924859
9,1333521432,62,31,1.365852,4586240,3359767.555882,36517.412723,2142.182379,1.320324,150259.498971,1.365852,-2705.345892,1.365852,-2705.345892,1.365852,-2705.345892,1.365852,-2705.345892,1.365852,-2705.345892,1.365852,-2705.345892,1.365852,-2705.345892,-2705.345892
9,1333521432,78,13,2.880706,9677798,3359767.555882,36517.412723,3111.029237,2.880706,-704.911336,2.880706,-704.911336,2.880706,-704.911336,2.880706,-704.911336,2.880706,-704.911336,2.880706,-704.911336,2.880706,-704.911336,2.880706,-704.911336,-704.911336
9,1333521432,82,41,1.354178,4550156,3359767.555882,36517.412723,2133.008108,1.320324,114175.498971,1.354178,432.409201,1.354178,432.409201,1.354178,432.409201,1.354178,432.409201,1.354178,432.409201,1.354178,432.409201,1.354178,432.409201,432.409201
9,1333521432,106,53,1.346212,4522380,3359767.555882,36517.412723,2126.725302,1.320324,86399.498971,1.320324,86399.498971,1.346212,-580.510853,1.346212,-580.510853,1.346212,-580.510853,1.346212,-580.510853,1.346212,-580.510853,1.346212,-580.510853,-580.510853
9,1333521432,158,79,1.337471,4493081,3359767.555882,36517.412723,2119.809104,1.320324,57100.498971,1.320324,57100.498971,1.337471,-509.637406,1.337471,-509.637406,1.337471,-509.637406,1.337471,-509.637406,1.337471,-509.637406,1.337471,-509.637406,-509.637406
9,1333521432,198,11,2.934053,9858163,3359767.555882,36517.412723,3139.702923,2.934053,428.553269,2.934053,428.553269,2.934053,428.553269,2.934053,428.553269,2.934053,428.553269,2.934053,428.553269,2.934053,428.553269,2.934053,428.553269,428.553269
9,1333521432,218,109,1.332663,4477281,3359767.555882,36517.412723,2115.995809,1.320324,41300.498971,1.320324,41300.498971,1.320324,41300.498971,1.332663,-157.262721,1.332663,-157.262721,1.332663,-157.262721,1.332663,-157.262721,1.332663,-157.262721,-157.262721
9,1333521432,302,151,1.329185,4466601,3359767.555882,36517.412723,2113.232638,1.320324,30620.498971,1.320324,30620.498971,1.320324,30620.498971,1.329185,848.817756,1.329185,848.817756,1.329185,848.817756,1.329185,848.817756,1.329185,848.817756,848.817756
9,1333521432,398,199,1.327026,4456567,3359767.555882,36517.412723,2111.515609,1.320324,20586.498971,1.320324,20586.498971,1.320324,20586.498971,1.327026,-1931.168547,1.327026,-1931.168547,1.327026,-1931.168547,1.327026,-1931.168547,1.327026,-1931.168547,-1931.168547
9,1333521432,502,251,1.325626,4454389,3359767.555882,36517.412723,2110.401783,1.320324,18408.498971,1.320324,18408.498971,1.320324,18408.498971,1.320324,18408.498971,1.325626,593.316236,1.325626,593.316236,1.325626,593.316236,1.325626,593.316236,593.316236
9,1333521432,606,101,2.667320,8961000,3359767.555882,36517.412723,2993.589279,2.640647,89038.997942,2.640647,89038.997942,2.640647,89038.997942,2.667320,-576.769756,2.667320,-576.769756,2.667320,-576.769756,2.667320,-576.769756,2.667320,-576.769756,-576.769756
9,1333521432,802,401,1.323633,4445631,3359767.555882,36517.412723,2108.814417,1.320324,9650.498971,1.320324,9650.498971,1.320324,9650.498971,1.320324,9650.498971,1.323633,-1467.246646,1.323633,-1467.246646,1.323633,-1467.246646,1.323633,-1467.246646,-1467.246646
9,1333521432,1006,503,1.322959,4443676,3359767.555882,36517.412723,2108.277675,1.320324,7695.498971,1.320324,7695.498971,1.320324,7695.498971,1.320324,7695.498971,1.320324,7695.498971,1.322959,-1158.753526,1.322959,-1158.753526,1.322959,-1158.753526,-1158.753526
9,1333521432,1198,599,1.322535,4440505,3359767.555882,36517.412723,2107.939979,1.320324,4524.498971,1.320324,4524.498971,1.320324,4524.498971,1.320324,4524.498971,1.320324,4524.498971,1.322535,-2905.954130,1.322535,-2905.954130,1.322535,-2905.954130,-2905.954130
9,1333521432,2018,1009,1.321635,4438919,3359767.555882,36517.412723,2107.222258,1.320324,2938.498971,1.320324,2938.498971,1.320324,2938.498971,1.320324,2938.498971,1.320324,2938.498971,1.320324,2938.498971,1.321635,-1466.645519,1.321635,-1466.645519,-1466.645519
9,1333521432,3030,101,3.556427,11947397,3359767.555882,36517.412723,3456.699152,3.520863,118115.663922,3.520863,118115.663922,3.520863,118115.663922,3.556427,-1372.026341,3.556427,-1372.026341,3.556427,-1372.026341,3.556427,-1372.026341,3.556427,-1372.026341,-1372.026341
9,1333521432,4006,2003,1.320983,4438104,3359767.555882,36517.412723,2106.702965,1.320324,2123.498971,1.320324,2123.498971,1.320324,2123.498971,1.320324,2123.498971,1.320324,2123.498971,1.320324,2123.498971,1.320324,2123.498971,1.320983,-93.382839,-93.382839
9,1539926526,2,0,1.320324,5046861,3824055.842577,39241.897584,2246.996061,1.320324,-2130.297871,1.320324,-2130.297871,1.320324,-2130.297871,1.320324,-2130.297871,1.320324,-2130.297871,1.320324,-2130.297871,1.320324,-2130.297871,1.320324,-2130.297871,-2130.297871
9,1539926526,6,3,2.640647,10094850,3824055.842577,39241.897584,3177.732304,2.640647,-3132.595742,2.640647,-3132.595742,2.640647,-3132.595742,2.640647,-3132.595742,2.640647,-3132.595742,2.640647,-3132.595742,2.640647,-3132.595742,2.640647,-3132.595742,-3132.595742
9,1539926526,14,7,1.584388,6057336,3824055.842577,39241.897584,2461.460858,1.584388,-1453.557445,1.584388,-1453.557445,1.584388,-1453.557445,1.584388,-1453.557445,1.584388,-1453.557445,1.584388,-1453.557445,1.584388,-1453.557445,1.584388,-1453.557445,-1453.557445
9,1539926526,22,11,1.467026,5610047,3824055.842577,39241.897584,2368.541815,1.467026,56.669032,1.467026,56.669032,1.467026,56.669032,1.467026,56.669032,1.467026,56.669032,1.467026,56.669032,1.467026,56.669032,1.467026,56.669032,56.669032
9,1539926526,30,5,3.520863,13467292,3824055.842577,39241.897584,3669.329202,3.520863,3315.205678,3.520863,3315.205678,3.520863,3315.205678,3.520863,3315.205678,3.520863,3315.205678,3.520863,3315.205678,3.520863,3315.205678,3.520863,3315.205678,3315.205678
