anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
7,10000000,2018,1009,1.321635,58672,44499.556842,3162.277660,242.512189,1.320324,-81.816498,1.320324,-81.816498,1.320324,-81.816498,1.320324,-81.816498,1.320324,-81.816498,1.320324,-81.816498,1.321635,-140.161897,1.321635,-140.161897,-140.161897
7,10000000,3030,101,3.556427,158081,44499.556842,3162.277660,397.818348,3.520863,1404.156006,3.520863,1404.156006,3.520863,1404.156006,3.556427,-178.438378,3.556427,-178.438378,3.556427,-178.438378,3.556427,-178.438378,3.556427,-178.438378,-178.438378
7,10000000,4006,2003,1.320983,58628,44499.556842,3162.277660,242.452426,1.320324,-125.816498,1.320324,-125.816498,1.320324,-125.816498,1.320324,-125.816498,1.320324,-125.816498,1.320324,-125.816498,1.320324,-125.816498,1.320983,-155.178725,-155.178725
7,11547820,2,0,1.320324,66774,50403.470676,3398.208351,257.970722,1.320324,225.106547,1.320324,225.106547,1.320324,225.106547,1.320324,225.106547,1.320324,225.106547,1.320324,225.106547,1.320324,225.106547,1.320324,225.106547,225.106547
7,11547820,6,3,2.640647,132568,50403.470676,3398.208351,364.825694,2.640647,-529.786906,2.640647,-529.786906,2.640647,-529.786906,2.640647,-529.786906,2.640647,-529.786906,2.640647,-529.786906,2.640647,-529.786906,2.640647,-529.786906,-529.786906
7,11547820,14,7,1.584388,79828,50403.470676,3398.208351,282.592767,1.584388,-30.672144,1.584388,-30.672144,1.584388,-30.672144,1.584388,-30.672144,1.584388,-30.672144,1.584388,-30.672144,1.584388,-30.672144,1.584388,-30.672144,-30.672144
7,11547820,22,11,1.467026,73942,50403.470676,3398.208351,271.925017,1.467026,-1.214948,1.467026,-1.214948,1.467026,-1.214948,1.467026,-1.214948,1.467026,-1.214948,1.467026,-1.214948,1.467026,-1.214948,1.467026,-1.214948,-1.214948
7,11547820,30,5,3.520863,177176,50403.470676,3398.208351,421.264425,3.520863,-287.715875,3.520863,-287.715875,3.520863,-287.715875,3.520863,-287.715875,3.520863,-287.715875,3.520863,-287.715875,3.520863,-287.715875,3.520863,-287.715875,-287.715875
7,11547820,38,19,1.397990,70391,50403.470676,3398.208351,265.449683,1.397990,-72.534244,1.397990,-72.534244,1.397990,-72.534244,1.397990,-72.534244,1.397990,-72.534244,1.397990,-72.534244,1.397990,-72.534244,1.397990,-72.534244,-72.534244
7,11547820,42,7,3.168777,159624,50403.470676,3398.208351,399.646524,3.168777,-93.344287,3.168777,-93.344287,3.168777,-93.344287,3.168777,-93.344287,3.168777,-93.344287,3.168777,-93.344287,3.168777,-93.344287,3.168777,-93.344287,-93.344287
7,11547820,46,23,1.383196,69533,50403.470676,3398.208351,264.041452,1.383196,-184.888379,1.383196,-184.888379,1.383196,-184.888379,1.383196,-184.888379,1.383196,-184.888379,1.383196,-184.888379,1.383196,-184.888379,1.383196,-184.888379,-184.888379
7,11547820,58,29,1.369225,68761,50403.470676,3398.208351,262.704525,1.369225,-252.667285,1.369225,-252.667285,1.369225,-252.667285,1.369225,-252.667285,1.369225,-252.667285,1.369225,-252.667285,1.369225,-252.667285,1.369225,-252.667285,-252.667285
7,11547820,62,31,1.365852,68753,50403.470676,3398.208351,262.380797,1.320324,2204.106547,1.365852,-90.682882,1.365852,-90.682882,1.365852,-90.682882,1.365852,-90.682882,1.365852,-90.682882,1.365852,-90.682882,1.365852,-90.682882,-90.682882
7,11547820,78,13,2.880706,145017,50403.470676,3398.208351,381.048010,2.880706,-180.585716,2.880706,-180.585716,2.880706,-180.585716,2.880706,-180.585716,2.880706,-180.585716,2.880706,-180.585716,2.880706,-180.585716,2.880706,-180.585716,-180.585716
7,11547820,82,41,1.354178,68100,50403.470676,3398.208351,261.257106,1.320324,1551.106547,1.354178,-155.275336,1.354178,-155.275336,1.354178,-155.275336,1.354178,-155.275336,1.354178,-155.275336,1.354178,-155.275336,1.354178,-155.275336,-155.275336
7,11547820,106,53,1.346212,67857,50403.470676,3398.208351,260.487569,1.320324,1308.106547,1.320324,1308.106547,1.346212,3.226283,1.346212,3.226283,1.346212,3.226283,1.346212,3.226283,1.346212,3.226283,1.346212,3.226283,3.226283
7,11547820,158,79,1.337471,67395,50403.470676,3398.208351,259.640453,1.320324,846.106547,1.320324,846.106547,1.337471,-18.164797,1.337471,-18.164797,1.337471,-18.164797,1.337471,-18.164797,1.337471,-18.164797,1.337471,-18.164797,-18.164797
7,11547820,198,11,2.934053,147969,50403.470676,3398.208351,384.560047,2.934053,82.570104,2.934053,82.570104,2.934053,82.570104,2.934053,82.570104,2.934053,82.570104,2.934053,82.570104,2.934053,82.570104,2.934053,82.570104,82.570104
7,11547820,218,109,1.332663,66789,50403.470676,3398.208351,259.173389,1.320324,240.106547,1.320324,240.106547,1.320324,240.106547,1.332663,-381.845728,1.332663,-381.845728,1.332663,-381.845728,1.332663,-381.845728,1.332663,-381.845728,-381.845728
7,11547820,302,151,1.329185,67012,50403.470676,3398.208351,258.834948,1.320324,463.106547,1.320324,463.106547,1.320324,463.106547,1.329185,16.469678,1.329185,16.469678,1.329185,16.469678,1.329185,16.469678,1.329185,16.469678,16.469678
7,11547820,398,199,1.327026,66745,50403.470676,3398.208351,258.624641,1.320324,196.106547,1.320324,196.106547,1.320324,196.106547,1.327026,-141.705095,1.327026,-141.705095,1.327026,-141.705095,1.327026,-141.705095,1.327026,-141.705095,-141.705095
7,11547820,502,251,1.325626,66807,50403.470676,3398.208351,258.488217,1.320324,258.106547,1.320324,258.106547,1.320324,258.106547,1.320324,258.106547,1.325626,-9.158085,1.325626,-9.158085,1.325626,-9.158085,1.325626,-9.158085,-9.158085
7,11547820,606,101,2.667320,134073,50403.470676,3398.208351,366.663618,2.640647,975.213094,2.640647,975.213094,2.640647,975.213094,2.667320,-369.208996,2.667320,-369.208996,2.667320,-369.208996,2.667320,-369.208996,2.667320,-369.208996,-369.208996
7,11547820,802,401,1.323633,66715,50403.470676,3398.208351,258.293791,1.320324,166.106547,1.320324,166.106547,1.320324,166.106547,1.320324,166.106547,1.323633,-0.682660,1.323633,-0.682660,1.323633,-0.682660,1.323633,-0.682660,-0.682660
