h,x,K,abs_err
0.0,242446.20170823307,133,1.0400653839060396
0.0,242446.20170823307,150,0.22773188099017716
0.0,242446.20170823307,200,0.443280976760434
0.0,242446.20170823307,250,1.2512384120527713
0.0,242446.20170823307,300,1.5806732931960141
0.0,242446.20170823307,1526,1.3966656089542084
0.0,242446.20170823307,2000,1.2029390940442681
0.0,249709.97860065434,1,7.158397637460439
0.0,249709.97860065434,5,10.46625164618672
0.0,249709.97860065434,10,9.715153538141749
0.0,249709.97860065434,25,2.1966502232789935
0.0,249709.97860065434,50,6.731425918231253
0.0,249709.97860065434,100,2.69391576412454
0.0,249709.97860065434,133,2.479619826310227
0.0,249709.97860065434,150,1.5563765241458896
0.0,249709.97860065434,200,2.0185160502769577
0.0,249709.97860065434,250,0.5631308115152933
0.0,249709.97860065434,300,0.5468057459802367
0.0,249709.97860065434,1526,0.5146115629286214
0.0,249709.97860065434,2000,0.75107694115286
0.0,257191.3809059347,1,0.1273797117137292
0.0,257191.3809059347,5,0.3745172619346704
0.0,257191.3809059347,10,0.21333713646890828
0.0,257191.3809059347,25,0.2616980586462887
0.0,257191.3809059347,50,4.981757226290938
0.0,257191.3809059347,100,3.6444558693292493
0.0,257191.3809059347,133,3.779332591482671
0.0,257191.3809059347,150,3.456469439974171
0.0,257191.3809059347,200,2.452373013507895
0.0,257191.3809059347,250,2.9742016979434993
0.0,257191.3809059347,300,1.8050689890951617
0.0,257191.3809059347,1526,0.09570878820522921
0.0,257191.3809059347,2000,0.29786977894764277
0.0,264896.92876105296,1,5.076130365549034
0.0,264896.92876105296,5,10.625544448463188
0.0,264896.92876105296,10,9.443516239432938
0.0,264896.92876105296,25,4.709028922905418
0.0,264896.92876105296,50,1.955150210113061
0.0,264896.92876105296,100,0.8039512010836916
0.0,264896.92876105296,133,0.49598670643172227
0.0,264896.92876105296,150,0.6762553523403767
0.0,264896.92876105296,200,0.7326697048083588
0.0,264896.92876105296,250,0.8413699065786204
0.0,264896.92876105296,300,0.20499382204798167
0.0,264896.92876105296,1526,1.6690267114463495
0.0,264896.92876105296,2000,0.7528194972110214
0.0,272833.33764867694,1,14.462161662300787
0.0,272833.33764867694,5,5.571887221489305
0.0,272833.33764867694,10,5.81283224629442
0.0,272833.33764867694,25,4.3500332037729095
0.0,272833.33764867694,50,3.5856931850212277
0.0,272833.33764867694,100,2.714923169485701
0.0,272833.33764867694,133,3.346283853483328
0.0,272833.33764867694,150,2.936931493324664
0.0,272833.33764867694,200,1.3720955418866652
0.0,272833.33764867694,250,1.1803149613806454
0.0,272833.33764867694,300,0.6414231880407897
0.0,272833.33764867694,1526,0.33124368670905824
0.0,272833.33764867694,2000,0.2014788019550906
0.0,281007.5242497918,1,9.704749509877729
0.0,281007.5242497918,5,2.7423063711830764
0.0,281007.5242497918,10,1.0750227949720284
0.0,281007.5242497918,25,0.8276985024094756
0.0,281007.5242497918,50,0.44122981262626126
0.0,281007.5242497918,100,1.062123377887474
0.0,281007.5242497918,133,2.6692366517381743
0.0,281007.5242497918,150,3.0291888112515153
0.0,281007.5242497918,200,1.5571683292837406
0.0,281007.5242497918,250,0.675197637094243
0.0,281007.5242497918,300,1.9035656905398355
0.0,281007.5242497918,1526,1.379046658959851
0.0,281007.5242497918,2000,1.7021768660524685
0.0,289426.61247167515,1,1.9921122691448545
0.0,289426.61247167515,5,2.189463624596101
0.0,289426.61247167515,10,0.9550665287642914
0.0,289426.61247167515,25,0.27977085895690834
0.0,289426.61247167515,50,1.8001819369783334
0.0,289426.61247167515,100,2.4293389537051553
0.0,289426.61247167515,133,3.1232329025588115
0.0,289426.61247167515,150,2.995519129850436
0.0,289426.61247167515,200,5.381847317210486
0.0,289426.61247167515,250,4.32442099115724
0.0,289426.61247167515,300,4.237681839440484
0.0,289426.61247167515,1526,0.7435458372383437
0.0,289426.61247167515,2000,0.6820074481220217
0.0,298097.93965647276,1,14.178392412159155
0.0,298097.93965647276,5,5.642223897870281
0.0,298097.93965647276,10,3.914816163785872
0.0,298097.93965647276,25,0.8415883267916797
0.0,298097.93965647276,50,3.3138137254973117
0.0,298097.93965647276,100,3.605813151862094
0.0,298097.93965647276,133,1.2873956362091121
0.0,298097.93965647276,150,1.1178283219051082
