x,pi_x,K_sustained,sqrt_x,K_log2x,abs_err_at_K_log2x,hit_at_K_log2x,K_log3x,abs_err_at_K_log3x,hit_at_K_log3x,K_5log2x,abs_err_at_K_5log2x,hit_at_K_5log2x,K_sqrtx,abs_err_at_K_sqrtx,hit_at_K_sqrtx,K_halfsqrtx,abs_err_at_K_halfsqrtx,hit_at_K_halfsqrtx
2091764.655756995,155250,-1,1446.2934196617903,212,5.938905017246725,0,3083,0.13080024151713587,1,1059,4.0866165677434765,0,1446,1.9541331908549182,0,723,2.016711215052055,0
2154434.6900318824,159555,-1,1467.799267622069,213,6.783028408390237,0,3101,1.5648875622136984,0,1063,1.6974040411878377,0,1468,0.00036812189500778913,1,734,0.2918773792916909,1
2218982.3414589697,163956,7997,1489.6248995834387,214,2.1500287025992293,0,3120,1.1535260777454823,0,1068,0.4466654873394873,1,1490,1.8147534492891282,0,745,1.3665357586869504,0
2285463.8641349883,168515,-1,1511.7750706156614,214,11.292728402360808,0,3139,1.5267262463166844,0,1072,1.219947534496896,0,1512,0.20885314117185771,1,756,2.4940656525141094,0
2353937.1975499904,173142,-1,1534.2546064946296,215,9.313664351095213,0,3158,1.4192324736795854,0,1076,0.9225991309504025,0,1534,1.8711792503017932,0,767,1.3000906514935195,0
2424462.017082331,177952,-1,1557.0684047537318,216,0.011123081960249692,1,3177,2.7075360060844105,0,1081,4.009844076295849,0,1557,3.1191554332035594,0,779,3.682876492384821,0
2497099.7860065433,182870,-1,1580.2214357508708,217,3.1678642831684556,0,3196,1.354507875686977,0,1085,2.72951016749721,0,1580,1.0729582916828804,0,790,0.08288814598927274,1
2571913.809059347,187943,-1,1603.718743751331,218,9.36249534052331,0,3216,3.7652968972397503,0,1089,1.812152373342542,0,1604,4.435701868409524,0,802,3.4527153302915394,0
2648969.2876105295,193190,-1,1627.5654480267542,219,1.3440688578411937,0,3235,3.588819573400542,0,1094,2.947838515188778,0,1628,0.6893775261123665,0,814,2.8200074599008076,0
2728333.3764867694,198548,-1,1651.7667439704583,220,7.818812823825283,0,3254,0.8074034065648448,0,1098,4.61596076094429,0,1652,1.8430761215277016,0,826,7.394067035726039,0
2810075.242497918,204058,7463,1676.3279042293361,220,2.579983560630353,0,3274,1.032560725871008,0,1102,0.4552275990135968,1,1676,2.8183970771788154,0,838,0.838387524796417,0
2894266.1247167517,209724,-1,1701.2542798525892,221,2.571522250655107,0,3293,2.9448377070366405,0,1107,3.958308873407077,0,1701,4.648142555030063,0,851,4.12187062369776,0
2980979.3965647276,215531,-1,1726.5513014575408,222,0.4445244216185529,1,3313,1.9312391682469752,0,1111,0.09880751022137702,1,1727,3.2684754985093605,0,863,0.2958672321110498,1
3070290.62975785,221478,7076,1752.2244804127838,223,10.439235379220918,0,3333,2.5103223987098318,0,1116,3.1613642793963663,0,1752,1.3461708495742641,0,876,2.512867951503722,0
3162277.6601683795,227647,-1,1778.2794100389228,224,14.04207580673392,0,3353,5.147280908073299,0,1120,12.470511769555742,0,1778,6.9225701825344,0,889,11.738201833999483,0
