anchor_log10,x_anchor,k_label,H,k,C_H,w_label,w,x,pi_H,HL,residual,abs_residual,log_x,sqrt_HL
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1321141,3,1.262888,1.737112,1.737112,14.094006,1.123783
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1326322,1,1.262187,-0.262187,0.262187,14.097920,1.123471
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1329868,1,1.261709,-0.261709,0.261709,14.100590,1.123258
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1331832,2,1.261445,0.738555,0.738555,14.102066,1.123141
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1334825,0,1.261044,-1.261044,1.261044,14.104311,1.122962
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1339465,0,1.260423,-1.260423,1.260423,14.107781,1.122686
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1343305,2,1.259912,0.740088,0.740088,14.110644,1.122458
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1346754,0,1.259454,-1.259454,1.259454,14.113208,1.122254
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1351012,3,1.258891,1.741109,1.741109,14.116364,1.122003
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1355652,2,1.258280,0.741720,0.741720,14.119793,1.121731
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1361202,1,1.257552,-0.257552,0.257552,14.123879,1.121406
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1362446,3,1.257390,1.742610,1.742610,14.124792,1.121334
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1368030,3,1.256662,1.743338,1.743338,14.128882,1.121009
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1371551,1,1.256205,-0.256205,0.256205,14.131453,1.120805
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1373706,1,1.255926,-0.255926,0.255926,14.133023,1.120681
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1378063,2,1.255363,0.744637,0.744637,14.136189,1.120430
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1383179,0,1.254705,-1.254705,1.254705,14.139895,1.120136
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1385860,1,1.254362,-0.254362,0.254362,14.141831,1.119983
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1390192,0,1.253808,-1.253808,1.253808,14.144952,1.119736
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1394857,1,1.253214,-0.253214,0.253214,14.148302,1.119471
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1400370,0,1.252516,-1.252516,1.252516,14.152247,1.119159
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1401196,1,1.252412,-0.252412,0.252412,14.152837,1.119112
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1407725,1,1.251589,-0.251589,0.251589,14.157485,1.118745
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1411550,1,1.251110,-0.251110,0.251110,14.160199,1.118530
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1413771,1,1.250832,-0.250832,0.250832,14.161771,1.118406
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1417415,2,1.250377,0.749623,0.749623,14.164345,1.118203
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1420494,1,1.249994,-0.249994,0.249994,14.166515,1.118032
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1427538,1,1.249122,-0.249122,0.249122,14.171462,1.117641
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1430253,2,1.248787,0.751213,0.751213,14.173362,1.117491
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1435485,2,1.248144,0.751856,0.751856,14.177013,1.117204
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1439214,1,1.247687,-0.247687,0.247687,14.179608,1.116999
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1441486,1,1.247410,-0.247410,0.247410,14.181185,1.116875
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1446105,1,1.246847,-0.246847,0.246847,14.184384,1.116623
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1450070,1,1.246366,-0.246366,0.246366,14.187122,1.116408
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1452632,0,1.246056,-1.246056,1.246056,14.188888,1.116269
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1457069,1,1.245521,-0.245521,0.245521,14.191937,1.116029
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1459292,1,1.245253,-0.245253,0.245253,14.193462,1.115909
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1466366,1,1.244405,-0.244405,0.244405,14.198298,1.115529
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1467668,1,1.244249,-0.244249,0.244249,14.199185,1.115459
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1474511,1,1.243435,-0.243435,0.243435,14.203837,1.115094
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1477441,1,1.243087,-0.243087,0.243087,14.205822,1.114938
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1481824,1,1.242569,-0.242569,0.242569,14.208784,1.114706
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1486191,0,1.242054,-1.242054,1.242054,14.211727,1.114475
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1488291,0,1.241808,-1.241808,1.241808,14.213139,1.114364
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1493942,1,1.241146,-0.241146,0.241146,14.216929,1.114067
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1495238,1,1.240994,-0.240994,0.240994,14.217796,1.113999
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1498430,2,1.240622,0.759378,0.759378,14.219928,1.113832
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1504619,2,1.239903,0.760097,0.760097,14.224050,1.113509
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1507691,2,1.239548,0.760452,0.760452,14.226090,1.113350
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1510262,6,1.239251,4.760749,4.760749,14.227794,1.113217
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1516495,3,1.238534,1.761466,1.761466,14.231912,1.112894
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1520595,1,1.238064,-0.238064,0.238064,14.234612,1.112683
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1524917,1,1.237571,-0.237571,0.237571,14.237451,1.112462
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1526470,1,1.237394,-0.237394,0.237394,14.238468,1.112382
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1530891,1,1.236891,-0.236891,0.236891,14.241360,1.112156
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1535372,0,1.236384,-1.236384,1.236384,14.244283,1.111928
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1537685,1,1.236122,-0.236122,0.236122,14.245789,1.111810
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1541072,1,1.235741,-0.235741,0.235741,14.247989,1.111639
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1547246,0,1.235048,-1.235048,1.235048,14.251987,1.111327
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1550875,1,1.234642,-0.234642,0.234642,14.254330,1.111144
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1553848,0,1.234310,-1.234310,1.234310,14.256245,1.110995
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1557053,1,1.233953,-0.233953,0.233953,14.258305,1.110834
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1562816,0,1.233314,-1.233314,1.233314,14.262000,1.110547
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1566051,2,1.232957,0.767043,0.767043,14.264068,1.110386
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1570821,1,1.232431,-0.232431,0.232431,14.267109,1.110149
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1572764,1,1.232217,-0.232217,0.232217,14.268345,1.110053
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1577206,2,1.231731,0.768269,0.768269,14.271165,1.109834
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1581023,2,1.231313,0.768687,0.768687,14.273583,1.109646
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1584507,1,1.230934,-0.230934,0.230934,14.275784,1.109475
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1590490,2,1.230284,0.769716,0.769716,14.279553,1.109182
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1593859,0,1.229920,-1.229920,1.229920,14.281669,1.109017
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1595467,0,1.229746,-1.229746,1.229746,14.282677,1.108939
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1600599,2,1.229193,0.770807,0.770807,14.285888,1.108690
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1605724,1,1.228643,-0.228643,0.228643,14.289085,1.108442
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1607489,0,1.228454,-1.228454,1.228454,14.290184,1.108357
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1613576,2,1.227805,0.772195,0.772195,14.293963,1.108064
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1615905,1,1.227557,-0.227557,0.227557,14.295406,1.107952
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1620270,1,1.227094,-0.227094,0.227094,14.298103,1.107743
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1623799,2,1.226721,0.773279,0.773279,14.300279,1.107574
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1628490,1,1.226226,-0.226226,0.226226,14.303164,1.107351
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1630425,3,1.226022,1.773978,1.773978,14.304351,1.107259
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1635128,0,1.225529,-1.225529,1.225529,14.307232,1.107036
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1638931,0,1.225131,-1.225131,1.225131,14.309555,1.106856
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1644221,1,1.224579,-0.224579,0.224579,14.312777,1.106607
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1647118,1,1.224278,-0.224278,0.224278,14.314538,1.106471
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1651511,3,1.223823,1.776177,1.776177,14.317201,1.106265
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1654307,0,1.223534,-1.223534,1.223534,14.318893,1.106135
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1659848,2,1.222962,0.777038,0.777038,14.322237,1.105876
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1662855,2,1.222653,0.777347,0.777347,14.324047,1.105737
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1667226,2,1.222205,0.777795,0.777795,14.326672,1.105534
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1670860,0,1.221834,-1.221834,1.221834,14.328849,1.105366
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1673780,2,1.221536,0.778464,0.778464,14.330595,1.105231
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1680145,3,1.220890,1.779110,1.779110,14.334391,1.104939
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1682450,2,1.220656,0.779344,0.779344,14.335762,1.104833
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1686027,0,1.220294,-1.220294,1.220294,14.337885,1.104669
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1692257,0,1.219667,-1.219667,1.219667,14.341574,1.104385
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1693313,2,1.219561,0.780439,0.780439,14.342198,1.104337
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1700016,1,1.218889,-0.218889,0.218889,14.346148,1.104033
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1701042,2,1.218787,0.781213,0.781213,14.346752,1.103987
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1707075,1,1.218185,-0.218185,0.218185,14.350292,1.103714
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1710741,2,1.217821,0.782179,0.782179,14.352437,1.103549
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1713195,2,1.217578,0.782422,0.782422,14.353871,1.103439
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1717377,0,1.217165,-1.217165,1.217165,14.356309,1.103252
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1719970,0,1.216909,-1.216909,1.216909,14.357817,1.103136
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1726656,2,1.216252,0.783748,0.783748,14.361697,1.102838
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1728191,1,1.216101,-0.216101,0.216101,14.362586,1.102770
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1731759,1,1.215752,-0.215752,0.215752,14.364648,1.102611
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1736668,2,1.215273,0.784727,0.784727,14.367479,1.102394
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1740343,2,1.214915,0.785085,0.785085,14.369593,1.102232
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1746534,2,1.214315,0.785685,0.785685,14.373144,1.101960
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1750457,1,1.213936,-0.213936,0.213936,14.375387,1.101788
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1754632,1,1.213534,-0.213534,0.213534,14.377770,1.101605
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1758502,1,1.213162,-0.213162,0.213162,14.379973,1.101436
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1760784,1,1.212943,-0.212943,0.212943,14.381270,1.101337
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1763958,0,1.212640,-1.212640,1.212640,14.383071,1.101199
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1770251,0,1.212039,-1.212039,1.212039,14.386632,1.100927
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1771903,0,1.211882,-1.211882,1.211882,14.387565,1.100855
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1775160,2,1.211573,0.788427,0.788427,14.389401,1.100715
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1000751,19,15.836791,3.163209,3.163209,13.816261,3.979547
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1004367,21,15.828536,5.171464,5.171464,13.819868,3.978509
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1008871,19,15.818304,3.181696,3.181696,13.824342,3.977223
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1011746,18,15.811801,2.188199,2.188199,13.827188,3.976406
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1015569,19,15.803190,3.196810,3.196810,13.830960,3.975323
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1020074,18,15.793092,2.206908,2.206908,13.835386,3.974052
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1024618,15,15.782962,-0.782962,0.782962,13.839830,3.972778
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1027407,15,15.776771,-0.776771,0.776771,13.842549,3.971998
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1031567,16,15.767575,0.232425,0.232425,13.846590,3.970841
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1035593,13,15.758719,-2.758719,2.758719,13.850485,3.969725
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1039654,18,15.749827,2.250173,2.250173,13.854399,3.968605
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1043748,19,15.740906,3.259094,3.259094,13.858329,3.967481
6,1000000,k2_twin,"(0, 2)",2,1.320337,wide,2290,1047974,16,15.731741,0.268259,0.268259,13.862369,3.966326
